,Finance Boom,Suppose I Do,Chalice Well,Im Over Dancing,Its My Turn,Refreshing,Upforthechallenge,Wango Award,Zoom Torino
10-01-2023 12:05:53.388504,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:54.576341,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:55.787494,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:57.010610,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:58.322735,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:59.633765,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:00.861434,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:02.120055,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:03.337742,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:04.525430,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:05.752512,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.896)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:07.016197,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.896)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:08.324153,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.896)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:09.451332,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 7.896)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:10.655206,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 8.016666666666666)","(10.0, 13.5, 13.327868852459016)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:11.869285,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 8.02)","(10.0, 13.5, 12.863636363636363)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:13.356344,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.461538461538462)","(5.5, 8.2, 8.05)","(10.0, 13.5, 14.014925373134329)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9546875000000004)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:14.889897,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.462962962962964)","(5.5, 8.2, 8.08)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.2, 4.209803921568628)","(5.0, 7.8, 7.5600000000000005)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9546875000000004)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:16.123432,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.462962962962964)","(5.5, 8.2, 8.08)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.5600000000000005)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9546875000000004)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:17.339505,"(10.0, 12.5, 11.166666666666666)","(10.0, 11.5, 11.458333333333334)","(5.5, 8.2, 8.08)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.5600000000000005)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9546875000000004)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:18.594824,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.458333333333334)","(5.5, 8.2, 8.08)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.5600000000000005)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:19.855510,"(10.0, 12.5, 11.5)","(10.0, 13.0, 11.8)","(5.5, 8.8, 8.235294117647058)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.136065573770492)","(5.0, 7.8, 7.5600000000000005)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:21.112569,"(10.0, 12.5, 11.5)","(10.0, 13.0, 11.8)","(5.5, 8.8, 8.235294117647058)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.575)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9521739130434783)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:22.543775,"(10.0, 12.5, 11.5)","(10.0, 13.0, 11.8)","(5.5, 8.8, 8.235294117647058)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9521739130434783)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:23.752759,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.8)","(5.5, 8.8, 8.235294117647058)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9521739130434783)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:24.975030,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.8)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9521739130434783)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:26.209866,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:27.464783,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:28.825002,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:30.098622,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:31.332145,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:32.535893,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:33.697933,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:34.873318,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:36.057656,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:37.297045,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:38.557575,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:39.819176,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:41.021625,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:42.199187,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:43.408533,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:44.610574,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:45.973985,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:47.186856,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:48.452328,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:49.678690,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:50.905745,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:52.118205,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:53.312291,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.266666666666666)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:54.615402,"(10.0, 12.5, 11.166666666666666)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.8, 8.333333333333332)","(10.0, 14.5, 13.25)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:55.935948,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.0, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:57.173044,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:58.397101,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.833333333333334)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:06:59.563656,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:00.747877,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:02.162119,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:03.413932,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:04.634836,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955813953488372)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:05.902290,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.9705882352941178)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:07.141712,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.975)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:08.405215,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.9857142857142858)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:09.801516,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.963157894736842)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:11.052914,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.963157894736842)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:12.237127,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.28)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.963157894736842)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:07:13.380871,"(10.0, 12.0, 11.25)","(10.0, 13.0, 11.857142857142858)","(5.5, 8.6, 8.257142857142856)","(10.0, 14.5, 13.375)","(3.5, 4.3, 4.1385964912280695)","(5.0, 7.8, 7.4)","(101.0, 200.0, 140.0)","(3.4, 4.0, 3.963157894736842)","(51.0, 550.0, 508.5185185185185)"
